transaction_id,account_id,customer_id,transaction_datetime,transaction_type,transaction_channel,transaction_amount,currency,beneficiary_id,source_location,destination_location,device_id,ip_address,transaction_status,failure_reason,settlement_status,fraud_flag,seed_risk_score
TXN0000000008,ACC000002081,CUST0000652,2023-12-04 15:00:07,UPI,INTERNET_BANKING,5521.08,INR,BEN0005358,Lucknow,Jaipur,DEV0008167,130.101.122.140,SUCCESS,,SETTLED,N,20
TXN0000000082,ACC000007045,CUST0007375,2023-09-22 11:52:26,INTERNAL_TRANSFER,POS,21592.59,INR,BEN0006875,Kochi,Bhubaneswar,DEV0005737,97.121.245.33,SUCCESS,,SETTLED,N,50
TXN0000000213,ACC000012013,CUST0007725,2025-04-21 02:10:13,INTERNAL_TRANSFER,INTERNET_BANKING,83130.04,INR,BEN0014250,New Delhi,Bengaluru,DEV0001834,52.150.107.224,SUCCESS,,SETTLED,N,20
TXN0000000247,ACC000001992,CUST0007870,2023-04-23 01:15:50,NEFT,INTERNET_BANKING,898.1,USD,BEN0005477,Mumbai,Mumbai,DEV0003996,47.199.202.206,SUCCESS,,SETTLED,N,30
TXN0000000249,ACC000010613,CUST0000751,2024-09-19 18:41:04,NEFT,MOBILE,550.56,INR,BEN0014747,Indore,Ahmedabad,DEV0010899,28.232.43.70,SUCCESS,,SETTLED,Y,30
TXN0000000284,ACC000006968,CUST0006050,2023-05-20 19:14:19,BILL_PAYMENT,MOBILE,7637.66,INR,BEN0000744,Chennai,Jaipur,DEV0001385,203.149.237.196,SUCCESS,,SETTLED,N,30
TXN0000000288,ACC000006983,CUST0005315,2025-10-20 18:15:03,UPI,BRANCH,2059.68,INR,BEN0008749,Bengaluru,Kochi,DEV0002003,78.90.48.123,PENDING,RATE_LIMIT,SETTLED,N,10
TXN0000000296,ACC000008716,CUST0006681,2024-06-08 22:45:44,INTERNAL_TRANSFER,API,7908.51,INR,BEN0007808,Bhubaneswar,Jaipur,DEV0005595,188.139.98.131,SUCCESS,,SETTLED,N,45
TXN0000000322,ACC000009158,CUST0006246,2023-11-12 07:31:57,IMPS,INTERNET_BANKING,2992.79,INR,BEN0004478,Kochi,Ahmedabad,DEV0000341,43.85.117.39,SUCCESS,,SETTLED,N,20
TXN0000000431,ACC000006646,CUST0003760,2026-06-22 16:48:21,CARD_PURCHASE,BRANCH,2426.11,INR,BEN0002533,New Delhi,Bengaluru,DEV0004329,79.60.134.76,SUCCESS,,SETTLED,N,30
TXN0000000437,ACC000009158,CUST0006246,2026-05-21 20:46:57,CARD_PURCHASE,INTERNET_BANKING,1124.22,INR,BEN0011149,Bhubaneswar,Kolkata,DEV0008273,150.186.219.18,SUCCESS,,FAILED,N,30
TXN0000000488,ACC000010935,CUST0005328,2025-04-29 17:21:44,RTGS,MOBILE,3316.32,INR,BEN0008348,Chennai,Indore,DEV0008492,198.219.41.90,SUCCESS,,SETTLED,N,30
TXN0000000503,ACC000009513,CUST0005698,2026-02-10 18:07:51,UPI,MOBILE,13606.03,INR,BEN0000203,Mumbai,Hyderabad,DEV0005031,40.213.212.192,SUCCESS,,SETTLED,N,30
TXN0000000533,ACC000012119,CUST0001703,2023-10-06 23:23:41,RTGS,INTERNET_BANKING,14831.76,INR,BEN0011128,New Delhi,Hyderabad,DEV0003949,212.197.215.42,SUCCESS,,SETTLED,N,30
TXN0000000551,ACC000010841,CUST0004501,2023-05-07 22:06:09,UPI,INTERNET_BANKING,7681.26,INR,BEN0007736,Hyderabad,Jaipur,DEV0010513,208.236.62.19,SUCCESS,,SETTLED,N,40
TXN0000000558,ACC000004035,CUST0004224,2024-06-23 06:05:07,ATM_WITHDRAWAL,BRANCH,4271.12,INR,BEN0002648,Bengaluru,Kochi,DEV0009981,21.163.221.214,SUCCESS,,SETTLED,N,30
TXN0000000562,ACC000012673,CUST0001209,2025-05-28 09:40:20,CARD_PURCHASE,MOBILE,1203.45,INR,BEN0001499,Kochi,Kochi,DEV0001680,144.113.123.166,SUCCESS,,SETTLED,N,30
TXN0000000643,ACC000009765,CUST0001692,2023-04-06 14:07:59,UPI,BRANCH,2216.62,INR,BEN0000627,Indore,New Delhi,DEV0000372,36.86.205.20,SUCCESS,,SETTLED,N,30
TXN0000000656,ACC000014871,CUST0006879,2024-03-20 14:58:37,ATM_WITHDRAWAL,POS,28049.94,INR,BEN0013354,Chennai,New Delhi,DEV0001464,,SUCCESS,,NOT_APPLICABLE,N,40
TXN0000000677,ACC000012519,CUST0004820,2024-04-08 16:10:10,UPI,MOBILE,11633.67,INR,BEN0004516,Ahmedabad,Lucknow,DEV0011391,89.86.215.130,SUCCESS,,SETTLED,N,40
TXN0000000688,ACC000006646,CUST0003760,2023-06-10 12:05:03,ATM_WITHDRAWAL,INTERNET_BANKING,49622.95,INR,BEN0008719,Lucknow,Indore,DEV0000901,92.190.133.191,REVERSED,UPSTREAM_TIMEOUT,NOT_APPLICABLE,N,10
TXN0000000763,ACC000006093,CUST0002743,2026-07-27 16:53:33,IMPS,INTERNET_BANKING,7427.22,INR,BEN0009574,Lucknow,Bhubaneswar,DEV0002291,166.206.6.202,FAILED,INVALID_BENEFICIARY,SETTLED,N,15
TXN0000000766,ACC000008969,CUST0007985,2024-02-18 22:22:36,ATM_WITHDRAWAL,API,425.51,INR,BEN0012277,Bhubaneswar,Bengaluru,DEV0008676,66.103.116.93,SUCCESS,,SETTLED,N,65
TXN0000000782,ACC000013920,CUST0000288,2024-02-27 12:05:51,NEFT,MOBILE,6957.58,EUR,BEN0003447,Hyderabad,Jaipur,DEV0000790,99.105.249.39,SUCCESS,,SETTLED,N,30
TXN0000000783,ACC000010746,CUST0001988,2024-04-01 14:25:53,UPI,MOBILE,56445.04,INR,BEN0009833,Kochi,Kochi,DEV0004725,167.237.159.122,SUCCESS,,SETTLED,N,40
TXN0000000796,ACC000009763,CUST0003977,2024-03-26 11:21:58,CARD_PURCHASE,MOBILE,2439.8,INR,BEN0000029,Kochi,Kolkata,DEV0011143,78.134.0.101,SUCCESS,,SETTLED,N,30
TXN0000000865,ACC000010817,CUST0004872,2023-01-09 20:22:47,CARD_PURCHASE,BRANCH,4115.39,INR,BEN0005552,Chennai,Mumbai,DEV0005163,145.13.197.130,SUCCESS,,SETTLED,N,30
TXN0000000890,ACC000010773,CUST0005765,2023-11-26 08:09:33,INTERNAL_TRANSFER,MOBILE,422.01,INR,BEN0013511,New Delhi,Indore,DEV0001240,64.1.103.31,SUCCESS,,SETTLED,N,30
TXN0000000900,ACC000000551,CUST0008160,2024-01-06 03:55:35,IMPS,API,4901.46,INR,BEN0005612,Hyderabad,Mumbai,DEV0009111,150.99.14.220,SUCCESS,,SETTLED,N,35
TXN0000000915,ACC000001531,CUST0000096,2025-06-18 21:16:44,NEFT,API,20089.95,INR,BEN0008135,Ahmedabad,Chennai,DEV0002967,53.98.242.66,SUCCESS,,SETTLED,N,35
TXN0000001001,ACC000000551,CUST0008160,2026-02-16 22:10:13,CARD_PURCHASE,BRANCH,14065.51,INR,BEN0003919,Mumbai,New Delhi,DEV0007141,57.149.164.141,PENDING,SERVICE_UNAVAILABLE,SETTLED,N,20
TXN0000001020,ACC000004082,CUST0000133,2023-09-21 12:41:45,CASH_DEPOSIT,INTERNET_BANKING,1150.18,INR,BEN0012986,Chennai,Chennai,DEV0004929,147.218.56.177,SUCCESS,,SETTLED,N,40
TXN0000001025,ACC000014350,CUST0003145,2023-08-03 04:29:18,NEFT,INTERNET_BANKING,2870.34,INR,BEN0005816,Indore,Hyderabad,DEV0004769,148.213.159.158,SUCCESS,,SETTLED,N,50
TXN0000001035,ACC000008375,CUST0001973,2025-12-29 11:39:16,UPI,MOBILE,5611.49,INR,BEN0012247,Kolkata,Hyderabad,DEV0008874,100.146.241.90,SUCCESS,,SETTLED,N,40
TXN0000001059,ACC000005098,CUST0003423,2025-06-27 23:49:10,CARD_PURCHASE,BRANCH,22545.36,INR,BEN0002315,Kolkata,Bhubaneswar,DEV0001807,116.228.13.226,SUCCESS,,SETTLED,N,30
TXN0000001115,ACC000003310,CUST0008648,2026-01-01 12:11:37,ATM_WITHDRAWAL,MOBILE,2026.34,INR,BEN0008115,Indore,Jaipur,DEV0001640,138.119.135.198,SUCCESS,,SETTLED,N,30
TXN0000001121,ACC000013702,CUST0001864,2023-08-07 08:05:53,UPI,INTERNET_BANKING,19924.48,INR,BEN0008013,Lucknow,Kochi,DEV0011102,221.124.162.214,SUCCESS,,SETTLED,Y,30
TXN0000001122,ACC000000047,CUST0002543,2025-07-20 07:34:50,UPI,MOBILE,326.95,INR,BEN0004336,Kochi,Indore,DEV0011572,157.38.213.163,SUCCESS,,SETTLED,N,40
TXN0000001146,ACC000003848,CUST0002069,2023-04-11 21:01:33,UPI,ATM,628.75,INR,BEN0014750,Kolkata,Kolkata,DEV0003752,172.209.190.216,SUCCESS,,SETTLED,N,30
TXN0000001220,ACC000013641,CUST0007451,2024-09-18 03:45:15,CARD_PURCHASE,INTERNET_BANKING,2217.31,INR,BEN0012290,Chennai,Jaipur,DEV0000619,81.208.174.106,SUCCESS,,SETTLED,N,30
TXN0000001276,ACC000004372,CUST0006311,2026-06-21 00:04:33,BILL_PAYMENT,MOBILE,1332.81,INR,BEN0008367,Lucknow,Jaipur,DEV0009509,80.196.248.249,FAILED,INVALID_CUSTOMER,SETTLED,N,25
TXN0000001378,ACC000009874,CUST0002860,2025-01-28 13:59:24,BILL_PAYMENT,POS,2429.93,INR,BEN0011532,Bengaluru,Hyderabad,DEV0005316,80.81.188.136,SUCCESS,,SETTLED,N,30
TXN0000001379,ACC000007308,CUST0001210,2024-10-08 20:50:52,INTERNAL_TRANSFER,INTERNET_BANKING,1457.6,INR,BEN0010504,Ahmedabad,Jaipur,DEV0000428,172.155.182.112,SUCCESS,,SETTLED,N,20
TXN0000001452,ACC000007394,CUST0003240,2025-07-20 18:11:22,UPI,MOBILE,966.86,INR,BEN0004724,Lucknow,Jaipur,DEV0000531,14.27.227.16,SUCCESS,,NOT_APPLICABLE,N,40
TXN0000001506,ACC000006646,CUST0003760,2023-03-12 07:50:37,NEFT,MOBILE,445.46,INR,BEN0001342,Hyderabad,Bhubaneswar,DEV0006704,107.188.161.142,SUCCESS,,SETTLED,N,30
TXN0000001516,ACC000014643,CUST0004844,2023-08-13 23:47:11,IMPS,INTERNET_BANKING,6137.04,INR,BEN0005461,Bengaluru,Bengaluru,DEV0009896,171.166.7.130,SUCCESS,,NOT_APPLICABLE,Y,40
TXN0000001592,ACC000012477,CUST0001121,2025-07-29 06:39:58,UPI,MOBILE,10695.39,INR,BEN0010023,Mumbai,New Delhi,DEV0000575,102.35.64.56,SUCCESS,,SETTLED,N,50
TXN0000001656,ACC000011762,CUST0003146,2025-06-15 10:01:06,CASH_DEPOSIT,MOBILE,4868.81,INR,BEN0002328,Ahmedabad,Lucknow,DEV0000695,30.149.178.245,SUCCESS,,SETTLED,N,50
TXN0000001663,ACC000005059,CUST0009709,2025-03-10 04:43:07,CARD_PURCHASE,MOBILE,3003.14,INR,BEN0010625,Bengaluru,New Delhi,DEV0000333,48.72.214.112,SUCCESS,,SETTLED,N,50
TXN0000001674,ACC000012525,CUST0007064,2026-07-26 11:36:05,UPI,MOBILE,951.88,INR,BEN0004612,Kolkata,Ahmedabad,DEV0009454,76.202.64.199,SUCCESS,,NOT_APPLICABLE,N,40
TXN0000001687,ACC000007106,CUST0004842,2024-01-24 12:37:30,IMPS,POS,13587.04,INR,BEN0002090,Jaipur,New Delhi,DEV0008466,55.20.93.8,SUCCESS,,SETTLED,N,50
TXN0000001773,ACC000014613,CUST0000235,2025-07-31 03:32:00,UPI,MOBILE,5467.14,INR,BEN0013901,Kochi,Kochi,DEV0011917,185.208.32.227,SUCCESS,,SETTLED,N,30
TXN0000001803,ACC000000264,CUST0003592,2026-05-23 11:09:15,CARD_PURCHASE,BRANCH,7004.46,INR,BEN0010371,Hyderabad,Chennai,DEV0008330,114.161.122.142,SUCCESS,,SETTLED,N,50
TXN0000001828,ACC000004078,CUST0005121,2023-11-30 07:11:37,UPI,ATM,1451.3,INR,BEN0003386,Bengaluru,Kochi,DEV0004785,72.24.36.207,SUCCESS,,SETTLED,N,30
TXN0000001860,ACC000013904,CUST0004794,2024-07-29 05:36:07,NEFT,MOBILE,3009.77,INR,BEN0000752,Lucknow,Ahmedabad,DEV0008906,108.149.234.174,SUCCESS,,SETTLED,N,30
TXN0000001901,ACC000006967,CUST0003256,2024-10-24 00:56:59,NEFT,INTERNET_BANKING,18999.8,INR,BEN0004116,Lucknow,New Delhi,DEV0001718,100.95.214.186,PENDING,UPSTREAM_TIMEOUT,SETTLED,N,20
TXN0000001927,ACC000003339,CUST0004834,2025-05-24 00:20:18,BILL_PAYMENT,MOBILE,1554.64,INR,BEN0006899,Kochi,Bhubaneswar,DEV0004465,199.254.116.222,SUCCESS,,SETTLED,N,40
TXN0000002019,ACC000007408,CUST0004376,2025-11-26 13:30:36,CASH_DEPOSIT,MOBILE,26829.19,INR,BEN0010665,Kolkata,Chennai,DEV0001162,161.217.0.47,SUCCESS,,SETTLED,N,60
TXN0000002021,ACC000003887,CUST0002615,2025-10-13 04:13:30,UPI,INTERNET_BANKING,15730.41,INR,BEN0012318,Bengaluru,Lucknow,DEV0001189,149.85.215.16,SUCCESS,,SETTLED,N,30
TXN0000002029,ACC000005876,CUST0008982,2024-10-06 13:17:05,NEFT,MOBILE,4589.13,INR,BEN0010405,Bhubaneswar,Lucknow,DEV0005918,31.201.108.152,FAILED,KYC_BLOCK,PENDING,N,15
TXN0000002074,ACC000000665,CUST0002829,2024-11-17 06:54:54,CASH_DEPOSIT,API,3350.2,INR,BEN0008158,Indore,Kolkata,DEV0006742,199.123.93.190,SUCCESS,,NOT_APPLICABLE,N,35
TXN0000002139,ACC000003612,CUST0009431,2024-05-24 09:12:13,UPI,ATM,2456.81,INR,BEN0006627,Bhubaneswar,Jaipur,DEV0010138,69.226.44.113,FAILED,RATE_LIMIT,SETTLED,N,15
TXN0000002178,ACC000000420,CUST0002757,2025-06-04 02:25:49,BILL_PAYMENT,INTERNET_BANKING,11069.35,INR,BEN0013450,Kolkata,Ahmedabad,DEV0001953,51.174.64.121,SUCCESS,,SETTLED,N,30
TXN0000002226,ACC000005725,CUST0004060,2025-03-09 01:29:26,IMPS,MOBILE,2922.86,INR,BEN0007989,Ahmedabad,Mumbai,DEV0003978,97.119.77.143,SUCCESS,,SETTLED,N,40
TXN0000002227,ACC000010007,CUST0009293,2025-08-27 17:44:43,IMPS,INTERNET_BANKING,11626.54,INR,BEN0011919,Bhubaneswar,Bengaluru,DEV0006761,67.156.146.228,SUCCESS,,SETTLED,N,50
TXN0000002248,ACC000013607,CUST0003535,2025-06-22 09:33:11,INTERNAL_TRANSFER,INTERNET_BANKING,82208.01,INR,BEN0012354,Lucknow,Jaipur,DEV0007135,43.173.58.10,SUCCESS,,SETTLED,N,40
TXN0000002273,ACC000000950,CUST0000905,2025-11-23 15:02:03,UPI,MOBILE,384.84,INR,BEN0006092,Bhubaneswar,Kolkata,DEV0009730,138.47.123.50,SUCCESS,,SETTLED,N,30
TXN0000002289,ACC000002598,CUST0003301,2025-08-20 01:35:56,IMPS,API,5774.12,USD,BEN0014569,Jaipur,Kolkata,DEV0004676,52.73.110.177,SUCCESS,,SETTLED,N,35
