transaction_id,account_id,customer_id,transaction_datetime,transaction_type,transaction_channel,transaction_amount,currency,beneficiary_id,source_location,destination_location,device_id,ip_address,transaction_status,failure_reason,settlement_status,fraud_flag,seed_risk_score
TXN0000000003,ACC000010498,CUST0000946,2023-02-22 12:08:27,BILL_PAYMENT,POS,44451.38,INR,BEN0006378,Indore,Kolkata,DEV0011843,30.83.253.38,SUCCESS,,NOT_APPLICABLE,N,30
TXN0000000115,ACC000009391,CUST0007223,2024-02-10 20:26:56,IMPS,INTERNET_BANKING,9102.42,INR,BEN0003688,Mumbai,Hyderabad,DEV0002276,148.184.133.218,SUCCESS,,FAILED,N,10
TXN0000000125,ACC000006643,CUST0001185,2025-04-06 07:36:25,ATM_WITHDRAWAL,API,1355.83,INR,BEN0010159,Bengaluru,Kolkata,DEV0008163,182.43.241.153,SUCCESS,,PENDING,N,15
TXN0000000139,ACC000014139,CUST0003347,2023-11-22 23:52:38,CASH_DEPOSIT,INTERNET_BANKING,5685.56,INR,BEN0011182,Jaipur,Mumbai,DEV0006618,65.181.109.244,SUCCESS,,SETTLED,N,20
TXN0000000187,ACC000000693,CUST0004631,2024-11-27 16:15:06,ATM_WITHDRAWAL,INTERNET_BANKING,3620.48,INR,BEN0000428,Ahmedabad,Hyderabad,DEV0010828,144.194.57.79,SUCCESS,,NOT_APPLICABLE,N,20
TXN0000000190,ACC000003028,CUST0003576,2023-05-12 11:19:19,CARD_PURCHASE,MOBILE,1440.71,INR,BEN0014873,Hyderabad,Mumbai,DEV0003762,27.156.233.61,SUCCESS,,SETTLED,N,30
TXN0000000208,ACC000000611,CUST0007853,2023-05-31 16:06:35,UPI,API,5037.49,INR,BEN0012134,New Delhi,Ahmedabad,DEV0005896,22.134.232.128,SUCCESS,,PENDING,N,15
TXN0000000236,ACC000007868,CUST0000033,2024-02-16 07:06:22,CARD_PURCHASE,ATM,4632.59,INR,BEN0011981,Kochi,Lucknow,DEV0002107,184.9.141.100,SUCCESS,,SETTLED,N,30
TXN0000000239,ACC000010997,CUST0005143,2024-04-13 17:36:46,UPI,MOBILE,7576.11,INR,BEN0011324,New Delhi,Lucknow,DEV0007673,192.146.3.26,SUCCESS,,SETTLED,N,30
TXN0000000245,ACC000008828,CUST0006877,2026-06-30 15:38:01,CARD_PURCHASE,INTERNET_BANKING,3550.93,INR,BEN0010316,Kochi,Kolkata,DEV0011873,206.134.180.79,SUCCESS,,SETTLED,N,30
TXN0000000245,ACC000011320,CUST0009605,2025-01-28 01:42:26,IMPS,MOBILE,6640.73,INR,BEN0001292,Chennai,Bengaluru,DEV0003699,177.16.65.39,SUCCESS,,SETTLED,N,10
TXN0000000315,ACC000004710,CUST0009237,2024-07-10 05:07:57,CARD_PURCHASE,MOBILE,694.85,INR,BEN0009793,Chennai,Bengaluru,DEV0002267,209.166.116.161,SUCCESS,,SETTLED,N,0
TXN0000000333,ACC000007378,CUST0002102,2025-12-16 19:35:22,UPI,POS,11684.59,USD,BEN0006214,Indore,Ahmedabad,DEV0010003,69.19.162.6,FAILED,RATE_LIMIT,SETTLED,N,15
TXN0000000360,ACC000009799,CUST0002551,2025-10-18 14:58:17,UPI,MOBILE,21211.17,INR,BEN0010332,Ahmedabad,Mumbai,DEV0012000,166.96.200.1,SUCCESS,,SETTLED,N,10
TXN0000000369,ACC000008888,CUST0003422,2024-10-05 07:50:36,UPI,POS,34794.95,INR,BEN0010677,Bengaluru,Bengaluru,DEV0010663,144.184.14.171,SUCCESS,,SETTLED,N,10
TXN0000000370,ACC000007205,CUST0006720,2025-01-23 10:34:50,ATM_WITHDRAWAL,POS,221.73,INR,BEN0003816,Chennai,Indore,DEV0010374,115.121.227.236,SUCCESS,,SETTLED,Y,10
TXN0000000390,ACC000004882,CUST0000643,2024-05-30 14:07:01,IMPS,MOBILE,8215.07,INR,BEN0009730,Indore,Kochi,DEV0000053,136.210.243.132,SUCCESS,,SETTLED,N,10
TXN0000000416,ACC000004448,CUST0005072,2023-11-02 16:51:42,CARD_PURCHASE,POS,2332.24,INR,BEN0010081,Indore,Bhubaneswar,DEV0002374,42.204.186.220,SUCCESS,,PENDING,N,10
TXN0000000552,ACC000003053,CUST0000842,2026-07-29 02:34:43,IMPS,MOBILE,2416.25,INR,BEN0003213,Lucknow,Bhubaneswar,DEV0007837,79.91.205.144,SUCCESS,,SETTLED,N,10
TXN0000000575,ACC000013957,CUST0002403,2024-07-05 23:49:26,IMPS,POS,9541.14,INR,BEN0010994,Jaipur,Indore,DEV0003788,205.164.166.194,SUCCESS,,SETTLED,N,10
TXN0000000575,ACC000003460,CUST0001811,2024-02-15 06:17:24,UPI,MOBILE,13020.99,INR,BEN0012817,Indore,Bhubaneswar,DEV0009455,25.53.78.35,SUCCESS,,SETTLED,N,10
TXN0000000607,ACC000014570,CUST0000533,2024-07-12 16:49:52,UPI,INTERNET_BANKING,10758.12,INR,BEN0008787,Bhubaneswar,Kochi,DEV0011335,141.189.27.117,SUCCESS,,NOT_APPLICABLE,N,30
TXN0000000627,ACC000013708,CUST0004252,2024-04-25 09:59:43,IMPS,INTERNET_BANKING,1962.67,INR,BEN0013656,Hyderabad,Bhubaneswar,DEV0008965,112.65.131.96,FAILED,DATABASE_ERROR,FAILED,N,35
TXN0000000718,ACC000004239,CUST0002210,2026-03-22 14:56:42,CASH_DEPOSIT,INTERNET_BANKING,2637.41,INR,BEN0007697,Kolkata,Kolkata,DEV0000001,175.146.112.248,SUCCESS,,SETTLED,N,10
