log_id,timestamp,api_name,endpoint,request_method,response_code,response_time_ms,request_size_bytes,response_size_bytes,server_name,environment,error_code,timeout_flag,transaction_id
API000000020,2023-10-22 15:17:24,TransactionAPI,/api/transactions,POST,504,189,2684,1502,SRV003,PRODUCTION,E108,Y,TXN0000010068
API000000023,2024-01-27 02:48:47,TransactionAPI,/api/transactions,GET,500,56,4225,247,SRV020,SIT,E107,N,TXN0000006183
API000000036,2025-06-16 23:36:42,LoanAPI,/api/loans,GET,504,298,1837,3914,SRV011,PRODUCTION,E110,Y,
API000000046,2025-08-19 15:11:22,AccountAPI,/api/accounts,POST,500,146,201,1986,SRV026,PRODUCTION,E105,N,TXN0000005769
API000000050,2023-01-08 16:05:35,AccountAPI,/api/accounts,GET,502,35,2861,5262,SRV010,PRODUCTION,E103,N,TXN0000000465
API000000063,2024-08-10 11:59:01,NotificationAPI,/api/notifications,GET,500,223,1338,9576,SRV036,SIT,E105,N,
API000000064,2025-06-18 00:18:13,LoanAPI,/api/loans,POST,500,260,3769,7563,SRV034,SIT,E106,N,TXN0000010341
API000000074,2024-01-01 19:28:02,LoanAPI,/api/loans,PUT,503,312,3292,9363,SRV023,SIT,E106,N,TXN0000007536
API000000077,2023-03-18 23:58:31,NotificationAPI,/api/notifications,POST,500,219,1862,5169,SRV010,PRODUCTION,E101,N,TXN0000017397
API000000106,2025-05-30 23:57:37,StatementAPI,/api/statements,POST,503,174,4094,9597,SRV020,PRODUCTION,E106,N,TXN0000004718
API000000120,2023-06-13 01:41:04,TransactionAPI,/api/transactions,POST,500,124,1265,640,SRV025,PRODUCTION,E103,N,
API000000133,2023-01-30 07:49:56,AuthAPI,/api/auth,DELETE,500,154,3938,6969,SRV011,PRODUCTION,E105,N,TXN0000008356
API000000148,2025-06-28 12:46:07,StatementAPI,/api/statements,PUT,504,118,3978,6824,SRV034,SIT,E109,Y,TXN0000003491
API000000155,2026-02-25 18:22:01,CustomerAPI,/api/customers,POST,500,268,3266,1026,SRV023,PRODUCTION,E101,N,
API000000180,2026-03-10 14:01:35,StatementAPI,/api/statements,DELETE,500,43,670,3234,SRV008,UAT,E100,N,TXN0000009690
API000000186,2023-05-25 04:20:07,AccountAPI,/api/accounts,POST,502,346,2529,3959,SRV038,PRODUCTION,E107,N,TXN0000022901
API000000195,2026-06-09 19:09:32,FraudAPI,/api/fraud,GET,500,77,835,8579,SRV013,PRODUCTION,E105,N,
API000000200,2023-08-06 08:11:31,StatementAPI,/api/statements,GET,504,37,951,4417,SRV003,SIT,E102,Y,
API000000202,2026-04-24 12:57:40,StatementAPI,/api/statements,POST,504,196,1858,6457,SRV006,PRODUCTION,E102,Y,TXN0000015168
API000000221,2023-12-30 04:26:50,KYCAPI,/api/kyc,POST,504,83,617,7958,SRV021,PRODUCTION,E106,Y,TXN0000006610
API000000223,2024-04-24 21:19:03,LoanAPI,/api/loans,GET,504,161,4105,6454,SRV012,PRODUCTION,E110,Y,TXN0000003142
API000000236,2024-09-15 13:59:44,KYCAPI,/api/kyc,PUT,503,51,703,9776,SRV013,PRODUCTION,E100,N,TXN0000024231
API000000241,2024-12-13 06:42:24,StatementAPI,/api/statements,POST,500,236,4572,499,SRV026,PRODUCTION,E109,N,
API000000263,2024-01-23 05:14:04,TransactionAPI,/api/transactions,GET,504,314,4892,1814,SRV038,PRODUCTION,E111,Y,
API000000281,2024-02-04 01:12:56,TransactionAPI,/api/transactions,PUT,504,123,4257,6055,SRV019,PRODUCTION,E104,Y,TXN0000005913
API000000283,2023-05-09 22:58:23,FraudAPI,/api/fraud,GET,502,130,1642,4123,SRV021,PRODUCTION,E111,N,TXN0000004539
