transaction_id,account_id,customer_id,transaction_datetime,transaction_type,transaction_channel,transaction_amount,currency,beneficiary_id,source_location,destination_location,device_id,ip_address,transaction_status,failure_reason,settlement_status,fraud_flag,seed_risk_score
TXN0000000146,ACC000003934,CUSTX3601,2026-01-25 13:02:11,CASH_DEPOSIT,MOBILE,59738.93,INR,BEN0012304,Mumbai,Indore,DEV0002087,193.188.65.64,PENDING,SERVICE_UNAVAILABLE,SETTLED,Y,70
TXN0000000550,ACC000014843,CUSTX4900,2023-01-08 03:31:44,CARD_PURCHASE,ATM,2991.13,INR,BEN0002319,Lucknow,Chennai,DEV0002157,31.8.156.23,FAILED,INVALID_BENEFICIARY,PENDING,Y,75
TXN0000000852,ACC000013663,CUSTX7892,2024-05-04 08:24:28,CARD_PURCHASE,BRANCH,1365.05,INR,BEN0004605,Bhubaneswar,Kolkata,DEV0009085,70.28.52.180,SUCCESS,,SETTLED,Y,70
TXN0000001588,ACC000004694,CUSTX1045,2026-04-08 22:46:37,UPI,INTERNET_BANKING,4516.87,INR,BEN0012855,Bhubaneswar,New Delhi,DEV0009580,48.120.180.127,SUCCESS,,SETTLED,Y,70
TXN0000001635,ACC000006647,CUSTX2776,2023-05-23 12:32:47,UPI,INTERNET_BANKING,15133.27,INR,BEN0008456,Ahmedabad,Lucknow,DEV0003505,39.10.28.136,SUCCESS,,PENDING,Y,70
TXN0000001723,ACC000000737,CUSTX5080,2024-02-07 13:51:05,ATM_WITHDRAWAL,ATM,9174.48,INR,BEN0010755,Indore,Bengaluru,DEV0009736,83.23.214.103,SUCCESS,,SETTLED,Y,70
TXN0000001724,ACC000005771,CUSTX8089,2023-03-12 05:10:53,UPI,API,4201.14,INR,BEN0005848,Mumbai,Indore,DEV0011463,105.61.221.229,FAILED,UPSTREAM_TIMEOUT,SETTLED,Y,80
TXN0000001779,ACC000004857,CUSTX1547,2024-03-21 11:00:06,ATM_WITHDRAWAL,POS,18505.1,INR,BEN0003658,Kolkata,Mumbai,DEV0000454,46.173.93.144,SUCCESS,,SETTLED,Y,70
TXN0000002039,ACC000010244,CUSTX2508,2025-06-28 04:42:12,ATM_WITHDRAWAL,MOBILE,6108.29,INR,BEN0006726,Hyderabad,Hyderabad,DEV0000880,77.38.205.159,SUCCESS,,SETTLED,Y,70
TXN0000002125,ACC000008908,CUSTX1208,2023-05-27 04:09:42,IMPS,POS,708.09,INR,BEN0001131,Jaipur,Indore,DEV0008805,164.168.116.229,SUCCESS,,SETTLED,Y,70
TXN0000002200,ACC000005771,CUSTX8089,2025-04-06 15:14:10,ATM_WITHDRAWAL,MOBILE,17119.23,INR,BEN0003070,Lucknow,Bhubaneswar,DEV0005508,108.193.226.124,SUCCESS,,SETTLED,Y,70
TXN0000002204,ACC000004266,CUSTX3260,2023-08-11 01:30:07,NEFT,MOBILE,1288.75,INR,BEN0002131,Jaipur,Lucknow,DEV0006946,219.135.211.131,SUCCESS,,SETTLED,Y,70
TXN0000002270,ACC000006907,CUSTX2546,2025-07-23 19:12:03,NEFT,MOBILE,14266.08,INR,BEN0009450,Jaipur,Kolkata,DEV0003011,87.23.140.147,SUCCESS,,SETTLED,Y,70
TXN0000002326,ACC000001900,CUSTX1963,2025-12-17 13:26:26,UPI,API,1886.17,EUR,BEN0000976,New Delhi,Chennai,DEV0000171,140.241.155.99,SUCCESS,,SETTLED,Y,75
TXN0000002633,ACC000010227,CUSTX3665,2023-11-19 11:06:36,BILL_PAYMENT,POS,6799.87,INR,BEN0007210,New Delhi,Hyderabad,DEV0004950,78.125.218.58,SUCCESS,,FAILED,Y,70
TXN0000002702,ACC000010762,CUSTX3025,2025-04-16 02:49:04,CARD_PURCHASE,MOBILE,7154.32,INR,BEN0007537,Kochi,Kochi,DEV0009717,206.232.215.196,SUCCESS,,SETTLED,Y,70
TXN0000003977,ACC000008414,CUSTX3176,2025-12-02 01:33:26,UPI,MOBILE,48200.74,INR,BEN0013533,Bengaluru,Indore,DEV0000183,189.229.193.127,SUCCESS,,SETTLED,Y,70
TXN0000004291,ACC000006174,CUSTX3601,2026-03-04 05:59:23,ATM_WITHDRAWAL,INTERNET_BANKING,4368.88,GBP,BEN0007434,Indore,Jaipur,DEV0006252,64.227.219.33,SUCCESS,,SETTLED,Y,70
TXN0000004743,ACC000009948,CUSTX2908,2024-03-16 18:27:56,BILL_PAYMENT,INTERNET_BANKING,18188.56,INR,BEN0003906,Kochi,Bengaluru,DEV0011905,33.62.117.188,SUCCESS,,NOT_APPLICABLE,Y,70
TXN0000004939,ACC000000775,CUSTX6911,2025-11-15 18:12:32,ATM_WITHDRAWAL,POS,1418.05,INR,BEN0013178,Mumbai,Hyderabad,DEV0006423,42.99.195.130,SUCCESS,,PENDING,Y,70
TXN0000005316,ACC000005771,CUSTX8089,2024-09-28 14:51:06,RTGS,INTERNET_BANKING,1460.99,INR,BEN0012818,Lucknow,Jaipur,DEV0006977,83.41.113.4,SUCCESS,,SETTLED,Y,70
TXN0000005476,ACC000010227,CUSTX3665,2025-06-11 08:31:03,NEFT,MOBILE,2487.88,INR,BEN0003799,Mumbai,Jaipur,DEV0005934,217.150.176.192,SUCCESS,,SETTLED,Y,70
TXN0000005529,ACC000005031,CUSTX7297,2024-05-28 15:05:16,CARD_PURCHASE,INTERNET_BANKING,3534.34,INR,BEN0012362,Hyderabad,Kochi,DEV0010629,14.145.219.77,SUCCESS,,SETTLED,Y,70
TXN0000005619,ACC000002952,CUSTX7904,2024-02-29 16:19:28,NEFT,API,1728.56,INR,BEN0006494,Indore,Lucknow,DEV0010444,101.15.132.146,PENDING,ACCOUNT_NOT_FOUND,SETTLED,Y,75
TXN0000006021,ACC000003649,CUSTX5559,2024-03-24 03:12:00,NEFT,MOBILE,6579.12,INR,BEN0005679,Bengaluru,Bengaluru,DEV0000277,21.107.191.223,FAILED,KYC_BLOCK,FAILED,Y,75
TXN0000006089,ACC000009481,CUSTX3059,2023-01-09 17:45:34,CARD_PURCHASE,BRANCH,384.4,INR,BEN0012883,Kochi,Indore,DEV0011579,154.97.187.239,SUCCESS,,SETTLED,Y,70
TXN0000006203,ACC000008429,CUSTX7000,2024-03-21 06:44:57,RTGS,POS,5601.06,INR,BEN0005707,Jaipur,Hyderabad,DEV0009192,106.135.42.27,SUCCESS,,SETTLED,Y,70
TXN0000006324,ACC000000893,CUSTX4748,2026-07-21 03:52:00,CASH_DEPOSIT,MOBILE,3182.4,INR,BEN0005392,Bengaluru,Kolkata,DEV0006235,206.50.12.55,SUCCESS,,SETTLED,Y,70
TXN0000006382,ACC000011523,CUSTX3247,2025-01-11 18:24:41,UPI,BRANCH,17117.46,INR,BEN0014622,Kochi,New Delhi,DEV0006319,39.197.151.130,SUCCESS,,SETTLED,Y,70
TXN0000006503,ACC000004293,CUSTX9854,2023-11-18 16:49:19,UPI,MOBILE,4581.23,INR,BEN0012997,Chennai,New Delhi,DEV0004927,87.10.171.77,SUCCESS,,SETTLED,Y,70
TXN0000006523,ACC000005774,CUSTX2104,2023-01-02 04:18:37,NEFT,INTERNET_BANKING,9983.46,INR,BEN0006836,New Delhi,Bhubaneswar,DEV0003836,168.153.175.82,SUCCESS,,SETTLED,Y,70
TXN0000006524,ACC000002535,CUSTX8832,2025-11-11 12:28:27,NEFT,POS,689.51,INR,BEN0007077,Bhubaneswar,Chennai,DEV0001485,66.53.153.213,SUCCESS,,SETTLED,Y,70
TXN0000006526,ACC000012440,CUSTX1709,2025-06-02 16:30:18,ATM_WITHDRAWAL,INTERNET_BANKING,11551.42,INR,BEN0008691,Chennai,Kolkata,DEV0001961,209.113.246.86,SUCCESS,,SETTLED,Y,70
TXN0000006809,ACC000010244,CUSTX2508,2023-06-20 14:22:44,CARD_PURCHASE,MOBILE,12274.35,INR,BEN0009967,Ahmedabad,Kochi,DEV0003575,139.125.234.175,SUCCESS,,SETTLED,Y,70
