transaction_id,account_id,customer_id,transaction_datetime,transaction_type,transaction_channel,transaction_amount,currency,beneficiary_id,source_location,destination_location,device_id,ip_address,transaction_status,failure_reason,settlement_status,fraud_flag,seed_risk_score
TXN0000000629,ACC000011521,CUST0001957,2023-03-02 02:11:29,ATM_WITHDRAWAL,POS,151948.65,INR,BEN0001626,Bengaluru,New Delhi,DEV0000710,156.186.230.79,SUCCESS,,NOT_APPLICABLE,N,40
TXN0000000838,ACC000011847,CUST0007466,2025-10-24 02:08:14,BILL_PAYMENT,API,136943.22,INR,BEN0014894,Kolkata,Bhubaneswar,DEV0010892,88.46.235.11,FAILED,DATABASE_ERROR,SETTLED,N,50
TXN0000000918,ACC000007309,CUST0002796,2025-02-09 05:40:19,UPI,MOBILE,180639.56,INR,BEN0005306,New Delhi,New Delhi,DEV0001707,133.74.113.130,SUCCESS,,SETTLED,N,30
TXN0000001100,ACC000004774,CUST0003432,2023-02-07 02:39:14,UPI,POS,108057.99,INR,BEN0005996,Ahmedabad,Bhubaneswar,DEV0010379,181.17.149.141,FAILED,UPSTREAM_TIMEOUT,SETTLED,N,35
TXN0000001182,ACC000005748,CUST0001137,2023-02-16 05:53:32,IMPS,MOBILE,112268.43,INR,BEN0009533,Ahmedabad,Hyderabad,DEV0000724,86.90.36.66,SUCCESS,,SETTLED,N,40
TXN0000002068,ACC000012497,CUST0002051,2025-02-03 14:54:36,NEFT,INTERNET_BANKING,143926.2,INR,BEN0012980,Kochi,Lucknow,DEV0008818,30.143.9.43,SUCCESS,,SETTLED,N,40
TXN0000002134,ACC000014731,CUST0000576,2025-03-12 07:19:34,CASH_DEPOSIT,ATM,284202.71,INR,BEN0000258,Kolkata,Chennai,DEV0008368,151.134.154.249,SUCCESS,,SETTLED,Y,100
TXN0000003177,ACC000001526,CUST0001079,2024-08-24 21:33:16,UPI,MOBILE,387373.18,EUR,BEN0006919,Chennai,Lucknow,DEV0006636,138.55.152.202,SUCCESS,,PENDING,N,60
TXN0000003448,ACC000011082,CUST0006503,2026-01-07 19:00:44,UPI,MOBILE,123964.46,INR,BEN0014490,Hyderabad,Indore,DEV0002209,222.29.218.144,SUCCESS,,SETTLED,N,30
TXN0000003668,ACC000013831,CUST0004802,2024-01-04 17:03:01,IMPS,MOBILE,170099.4,INR,BEN0000953,Ahmedabad,Bhubaneswar,DEV0000169,146.187.161.198,SUCCESS,,SETTLED,N,30
TXN0000004427,ACC000009845,CUST0009384,2025-04-30 11:32:04,CARD_PURCHASE,ATM,278297.12,INR,BEN0002249,New Delhi,Hyderabad,DEV0009463,81.67.114.55,SUCCESS,,NOT_APPLICABLE,N,60
TXN0000004439,ACC000002202,CUST0006262,2023-04-04 11:17:05,UPI,MOBILE,104931.06,INR,BEN0000409,Chennai,Mumbai,DEV0002947,110.145.61.20,SUCCESS,,NOT_APPLICABLE,N,30
TXN0000004719,ACC000010317,CUST0005926,2026-06-23 05:51:49,UPI,MOBILE,289242.77,INR,BEN0007444,Indore,Hyderabad,DEV0002729,190.68.2.18,SUCCESS,,SETTLED,Y,80
TXN0000004788,ACC000006954,CUST0001898,2023-07-16 01:09:39,CASH_DEPOSIT,INTERNET_BANKING,106229.02,EUR,BEN0007895,Lucknow,Indore,DEV0001333,188.116.205.115,SUCCESS,,NOT_APPLICABLE,N,30
TXN0000004873,ACC000002624,CUST0001824,2025-12-13 18:58:35,UPI,MOBILE,131242.58,INR,BEN0001363,Kolkata,New Delhi,DEV0008462,114.117.192.156,FAILED,ACCOUNT_NOT_FOUND,SETTLED,N,35
TXN0000005120,ACC000004686,CUST0005251,2026-07-15 07:45:56,UPI,MOBILE,119457.65,INR,BEN0004440,Indore,Indore,DEV0007931,147.189.254.242,SUCCESS,,SETTLED,N,30
TXN0000005581,ACC000011751,CUST0003329,2027-05-03 00:45:00,INTERNAL_TRANSFER,MOBILE,254979.25,INR,BEN0011556,Hyderabad,Kochi,DEV0005211,93.134.25.253,SUCCESS,,SETTLED,Y,100
TXN0000007123,ACC000006559,CUST0007448,2023-03-17 22:33:44,CARD_PURCHASE,MOBILE,129999.07,INR,BEN0008606,Hyderabad,Jaipur,DEV0011976,12.45.90.235,REVERSED,INVALID_BENEFICIARY,SETTLED,N,30
