transaction_id,account_id,customer_id,transaction_datetime,transaction_type,transaction_channel,transaction_amount,currency,beneficiary_id,source_location,destination_location,device_id,ip_address,transaction_status,failure_reason,settlement_status,fraud_flag,seed_risk_score
TXN0000000174,ACC000010687,CUST0003538,2024-01-26 16:33:07,ATM_WITHDRAWAL,MOBILE,-18278.34,INR,BEN0012719,Kolkata,Mumbai,DEV0003876,196.245.21.130,SUCCESS,,SETTLED,N,50
TXN0000000204,ACC000008724,CUST0001119,2026-03-17 04:01:23,UPI,POS,-5289.13,INR,BEN0008576,Mumbai,New Delhi,DEV0011177,41.218.123.212,SUCCESS,,SETTLED,N,30
TXN0000000210,ACC000007548,CUST0003023,2025-04-01 19:50:10,UPI,MOBILE,-22226.51,INR,BEN0003073,Mumbai,Mumbai,DEV0008653,53.232.102.82,SUCCESS,,SETTLED,N,50
TXN0000000342,ACC000000300,CUST0002468,2024-12-02 15:08:11,UPI,MOBILE,-47539.07,INR,BEN0013963,Bengaluru,Hyderabad,DEV0000217,48.61.40.208,SUCCESS,,PENDING,N,40
TXN0000000669,ACC000006430,CUST0005029,2026-03-08 07:06:29,UPI,INTERNET_BANKING,-24930.73,INR,BEN0011045,Indore,Jaipur,DEV0000701,198.217.192.105,SUCCESS,,SETTLED,N,40
TXN0000000877,ACC000000059,CUST0001816,2023-08-04 20:31:13,UPI,MOBILE,-10985.75,EUR,BEN0002819,Hyderabad,Ahmedabad,DEV0000594,112.233.123.241,SUCCESS,,NOT_APPLICABLE,N,30
TXN0000001103,ACC000000619,CUST0006873,2025-08-10 15:19:22,BILL_PAYMENT,POS,-42880.61,INR,BEN0003143,Indore,Ahmedabad,DEV0004151,217.241.117.86,SUCCESS,,SETTLED,N,60
TXN0000001625,ACC000014076,CUST0005415,2023-07-12 15:03:39,CARD_PURCHASE,MOBILE,-12129.67,INR,BEN0000249,Bhubaneswar,Jaipur,DEV0000908,146.35.127.190,PENDING,ACCOUNT_NOT_FOUND,SETTLED,N,30
TXN0000000627,ACC000003326,CUST0005507,2023-11-24 20:26:06,INTERNAL_TRANSFER,BRANCH,-1594.0,INR,BEN0009881,Chennai,Chennai,DEV0009547,48.227.59.186,FAILED,KYC_BLOCK,SETTLED,N,55
TXN0000001757,ACC000011412,CUST0005727,2025-10-06 07:08:21,ATM_WITHDRAWAL,ATM,-12523.44,INR,BEN0009117,Indore,New Delhi,DEV0005950,151.66.88.201,SUCCESS,,PENDING,N,40
TXN0000002063,ACC000012608,CUST0005098,2025-04-02 10:16:42,NEFT,POS,-47924.43,INR,BEN0012817,Ahmedabad,Mumbai,DEV0002412,74.139.34.77,FAILED,SERVICE_UNAVAILABLE,SETTLED,N,25
TXN0000002378,ACC000010231,CUST0000683,2023-12-18 17:20:02,IMPS,POS,-26208.14,INR,BEN0013633,Chennai,Kolkata,DEV0000049,171.88.178.225,SUCCESS,,SETTLED,N,40
TXN0000002407,ACC000012718,CUST0004554,2024-04-21 18:39:04,IMPS,MOBILE,-23996.07,INR,BEN0003201,Hyderabad,Kochi,DEV0005470,203.97.44.158,SUCCESS,,PENDING,N,30
TXN0000003020,ACC000007163,CUST0005245,2026-06-02 03:08:13,INTERNAL_TRANSFER,MOBILE,-4520.75,INR,BEN0008398,Chennai,New Delhi,DEV0002923,173.90.239.199,SUCCESS,,SETTLED,N,30
TXN0000003148,ACC000002926,CUST0006859,2024-09-29 00:30:17,IMPS,INTERNET_BANKING,-49096.78,INR,BEN0004844,Kolkata,Lucknow,DEV0010311,220.252.233.110,SUCCESS,,PENDING,N,30
TXN0000003161,ACC000004291,CUST0003899,2026-03-21 11:54:41,UPI,INTERNET_BANKING,-9430.87,INR,BEN0005695,Ahmedabad,Kochi,DEV0001171,87.147.53.77,SUCCESS,,SETTLED,N,30
TXN0000003826,ACC000000843,CUST0005436,2026-03-13 03:17:15,IMPS,POS,-29062.5,INR,BEN0007335,Bengaluru,New Delhi,DEV0008057,64.156.119.37,SUCCESS,,SETTLED,N,30
TXN0000005055,ACC000010728,CUST0004484,2024-08-07 08:09:59,CASH_DEPOSIT,BRANCH,-42096.14,INR,BEN0002396,Kolkata,Bengaluru,DEV0005110,118.237.131.16,SUCCESS,,SETTLED,N,30
TXN0000005082,ACC000007325,CUST0006911,2024-12-22 03:22:12,IMPS,POS,-14471.89,INR,BEN0014888,Bhubaneswar,Kolkata,DEV0000468,58.74.104.122,SUCCESS,,SETTLED,N,30
TXN0000005240,ACC000003894,CUST0009304,2023-12-22 07:28:04,UPI,INTERNET_BANKING,-7838.64,INR,BEN0006736,Kolkata,Lucknow,DEV0001421,96.87.169.245,SUCCESS,,SETTLED,N,30
TXN0000005438,ACC000005042,CUST0004633,2025-12-21 15:03:36,IMPS,MOBILE,-5852.62,INR,BEN0008676,Lucknow,Jaipur,DEV0002848,199.181.138.117,SUCCESS,,SETTLED,N,30
TXN0000005535,ACC000001480,CUST0008071,2024-04-30 22:16:37,IMPS,INTERNET_BANKING,-13344.92,INR,BEN0005593,Kolkata,Mumbai,DEV0000650,137.38.10.224,SUCCESS,,SETTLED,N,30
TXN0000005650,ACC000006274,CUST0005371,2024-09-04 01:18:44,UPI,MOBILE,-36957.61,INR,BEN0008107,Chennai,Indore,DEV0010138,11.242.50.196,SUCCESS,,SETTLED,N,30
TXN0000005895,ACC000001393,CUST0004883,2024-09-13 12:49:54,UPI,INTERNET_BANKING,-16847.46,INR,BEN0009983,Indore,New Delhi,DEV0002078,183.6.89.5,SUCCESS,,SETTLED,N,20
