log_id,timestamp,api_name,endpoint,request_method,response_code,response_time_ms,request_size_bytes,response_size_bytes,server_name,environment,error_code,timeout_flag,transaction_id
API000001110,2024-01-14 02:36:51,CustomerAPI,/api/customers,POST,500,2076,4051,4471,SRV016,PRODUCTION,E102,N,TXN0000010075
API000001332,2024-09-14 21:03:13,NotificationAPI,/api/notifications,POST,401,2022,4326,3849,SRV016,PRODUCTION,E108,N,
API000001632,2024-05-03 15:15:01,AuthAPI,/api/auth,GET,200,3135,4203,1763,SRV002,SIT,,N,TXN0000005812
API000002186,2024-07-09 09:35:39,PaymentAPI,/api/payments,GET,200,2346,4400,373,SRV016,PRODUCTION,,N,TXN0000013556
API000002962,2023-03-26 18:58:00,AuthAPI,/api/auth,GET,200,3355,4920,7452,SRV008,PRODUCTION,,N,
API000003915,2023-04-09 10:33:40,FraudAPI,/api/fraud,POST,200,2420,168,6695,SRV040,PRODUCTION,,N,
API000004063,2026-01-18 02:24:49,TransactionAPI,/api/transactions,PUT,500,2260,859,5125,SRV019,PRODUCTION,E109,N,TXN0000004502
API000004173,2025-04-28 09:10:11,AuthAPI,/api/auth,POST,200,2869,3509,7804,SRV039,SIT,,N,TXN0000005934
API000004496,2026-05-22 00:40:49,LoanAPI,/api/loans,GET,504,2016,2722,9935,SRV039,PRODUCTION,E105,Y,
API000007396,2025-06-18 10:10:07,AccountAPI,/api/accounts,GET,200,2063,2882,9056,SRV019,PRODUCTION,,N,
API000008007,2025-02-20 17:37:38,NotificationAPI,/api/notifications,GET,200,2548,769,9081,SRV037,PRODUCTION,,N,
API000009755,2024-07-23 18:27:51,FraudAPI,/api/fraud,POST,500,2628,1562,3676,SRV039,PRODUCTION,E111,N,TXN0000012470
API000010241,2023-05-11 11:37:04,AccountAPI,/api/accounts,POST,200,2101,4964,827,SRV006,PRODUCTION,,N,
API000010360,2023-08-17 10:51:50,LoanAPI,/api/loans,POST,200,2768,2538,7660,SRV037,PRODUCTION,,N,TXN0000012661
API000010802,2023-11-05 08:52:35,LoanAPI,/api/loans,POST,200,2445,4832,9523,SRV008,PRODUCTION,,N,TXN0000014851
API000011351,2024-09-02 18:11:56,FraudAPI,/api/fraud,PUT,200,2418,3589,4684,SRV013,SIT,,N,TXN0000012820
API000011860,2026-03-21 13:27:56,FraudAPI,/api/fraud,GET,401,2205,3573,8391,SRV027,PRODUCTION,E102,N,
API000012566,2024-01-30 15:58:21,CustomerAPI,/api/customers,GET,200,2127,3095,1365,SRV005,PRODUCTION,,N,TXN0000001956
API000013127,2026-06-05 00:55:51,LoanAPI,/api/loans,POST,200,2678,2829,4029,SRV003,PRODUCTION,,N,TXN0000011188
API000014858,2024-02-28 08:56:31,LoanAPI,/api/loans,GET,200,2244,4765,7569,SRV035,PRODUCTION,,N,TXN0000016931
